"id","answer","polarity","subjectivity","sentiment"
287,"OSHA VPP star rated safety program lack of support from corporate and site level leaders",0,0,"neu"
288,"Flextime is a nice perk benefits are getting worse every year",0.1,0.8,"neu"
289,"Medical, Pay, Easy Work, Nice people, good training 401K, Raises, Hard to make Rate, Recording hourly rate",0.2883333333,0.595,"pos"
290,"Good experience working on MIssile/Satelite navigation systems The aerospace /satellite business is in a down turn. No job security.",0.2722222222,0.4444444444,"pos"
291,"Corporate structureHoneywell is well known a good brand Health care benefitsTakes a long time to get promoted unless stars align in your favor",0.2166666667,0.3333333333,"pos"
292,"Great people and a descent environment. Pay is competitive. Very resistant to change. Slow moving on a lot of fronts. Lacking good communication between businesses.",0.35,0.5125,"pos"
293,"The benefits are excellent, and their safety program is phenomenal. Haven't found anything yet, but the acronyms are pretty tough.",0.3402777778,0.8333333333,"pos"
294,"Fair Pay/Good Benefits. Challenging work! Dirty Industrial environment, Physically-demanding job",0.2416666667,0.9,"pos"
295,"Can't think of anything positive Unethical. Treats employees like trash. An abusive relationship that will haunt you.",0.2272727273,0.5454545455,"pos"
296,"The companies relocation package is very convenient. Also they did provide some aid during Harvey The benefits are mediocre at best. Also travel is a no go here. Investors are the only priority.",0.175,0.65,"neu"
297,"I received a pay checkOk benefits if the rules were followed (have bio-metric screening or surcharged) Metrics are king.Daily work was ok, but the weekly beat-downs were tough.",0.0555555556,0.6666666667,"neu"
298,"Meeting new people for the first time and hoping that they will be friendly . But it's hard to say but I have to be positive",0.1393939394,0.475,"neu"
299,"Pay was good and 401k was good. Most of the people you work with are good Some people can be very difficult to work with and production is always priority",0.39,0.66,"pos"
300,"Management is cluelessToo many internal meetingsHorrible benefitsCorporate causes too much red tapeNothing efficientClaim to want to watch expenses, no internal travel, yet Corporate constantly requir",0.0833333333,0.1388888889,"neu"
301,"If you are going into software looking for a fancy skyscraper office looking out over a city, this isn't exactly it. You will probably get your standard cubicle, although the equipment provided is pre",0.125,0.125,"neu"
302,"there really were no real negative things to say about this organization, they seemed to really care about us and provided competitive pay and benefits. I liked working there",0.275,0.3666666667,"pos"
303,"Everyone is supportive and Helpful getting through the myriad of requirements. There are numerous steps to accomplish.",0.25,0.75,"pos"
304,"Too much structure. Managers can't do anything for their employees. Requests/raises/promotion go ALL the way to the top and happen rarely. Once they do finally happen they are dwindled down to nothing",0.1688888889,0.5777777778,"neu"
305,"Lots of work in my group They want to move everything to India & China as soon as possible",0,1,"neu"
306,"There's a lot of variety and opportunity to do leading edge industry manufacturing Very large, corporate management, reducing benefits",0.1392857143,0.2785714286,"neu"
307,"good wages, caring employees,standard work no work/life balance, union workforce",0.7,0.6,"vpos"
308,"Great company with excellent growth opp. every job has it's day",0.9,0.875,"vpos"
309,"Good salary. Company very committed to process improvement and growth. Benefits being systematically reduced. Lots of mid level management churn. Just rescinded long standing remote worker policy.",0.15,0.3,"neu"
310,"Good processes, many opportunities, a lot of depratments many fir loughs, poor insurance",0.325,0.55,"pos"
311,"This was the best company that I have ever worked for! Really can't think of any. Great place to work!",0.7333333333,0.4166666667,"vpos"
312,"Honeywell FMT out of Kansas City used to be a great place to get started. but unfortunatly Honeywell Corporate kept sticking there nose in and requiring more aggressive cost savings. Honeywell FMT no",0.4333333333,0.4166666667,"pos"
313,"Management misdirection because of lack of experienced management, benefits are decreasing, understaffed departments, supplier quality, pushing programs through milestones even though they are not rea",0.8,0.9,"vpos"
314,"Gaining experience to go somewhere else No longer care about the employees",0,0,"neu"
315,"Company CulturePeopleWork Versatility SalaryAdvancementLeadershipBenefitsFacility is run down",-0.1555555556,0.2888888889,"neu"
316,"HR and business people run the company. They do not care about technical excellence just cutting costs and making the stock go up at the expense of a future. Minimal raises, benefits cut year after ye",-0.175,0.43125,"neu"
317,"Great collaborative environment, focused on individual engagement None so far as the comapny continues to expand into new markets",0.2590909091,0.6511363636,"pos"
318,"Good team , great products, amazing customer base They use Salesforce to micromanage",0.325,0.8125,"pos"
319,"people are always friendly at work the pay isn't great, and work hours a bit longer",0.5875,0.625,"pos"
320,"Extremely low pay. Engineers are leaving in droves and Senior management isn't doing anything about it. They've been saying we're working on it for over a year now. They have a ridiculous overtime p",-0.1666666667,0.65,"neu"
321,"Good place to start out of college Company no longer cares about employees and continues to cut benefits.",0.7,0.6,"vpos"
322,"Honeywell was a great company many years ago Honeywell is moving to Mexico and letting the employees go",0.65,0.625,"vpos"
323,"certain amount of freedom allowed benifits cut over the years",0.2142857143,0.5714285714,"pos"
324,"No employee loyalty. Confidence between management and employees suffering. Too many favorites. Alot of overseas contracting of American jobs. .",0.25,0.25,"pos"
325,"Work/Life Balance: Be prepared to work weekends. Since upper management decided to layoff everyone that wasn't absolutely critical remaining employees are being forced to pick up the slack. Now they a",-0.1,0.3333333333,"neu"
326,"Benefits can always be better but the way Honeywell offers benefits does allow for some tax savings.",0.3,0.25,"pos"
327,"Nearly everything:Pay: Below industry standard for all positions across the board.Benefits: Complete garbage, high monthly cost + high deductible. If you have a family, be prepared to pay 1000s.Corpor",0.104,0.376,"neu"
328,"Stock is up- Wall Street approves good products There is no life/work balance in management and not enough resources to produce high quality solutions in strategy and operations",0.2866666667,0.5466666667,"pos"
329,"Large installed base of good products Aerospace is a matrix organization with often opposing metrics between functions. Way too focused on cost cutting at the expense of employee satisfaction.",-0.1214285714,0.7321428571,"neu"
330,"friendly working environment, everyone is way too nice. great working relations. No overtime in the office for interns",0.5916666667,0.75,"pos"
331,"Excellent talent and people. Competitive salary Crazy work/life balance. Most jobs in IT are moving to India",0.3,0.8,"pos"
332,"Compensation is very competitive within the industry Too many rules and policies to act fast",0.3,0.4666666667,"pos"
333,"Very mediocre benefits package. Particularly our medical coverage. Low contributions to 401k. Takes 3 years to divest shares.",-0.1208333333,0.4083333333,"neu"
334,"Good company to expand your knowledge and have freedom to make choices and movements Old form of lean manufacturing",0.4,0.4,"pos"
335,"Pay well for the industry Politics in workplace and uncertainty of keeping job. Benefits are not good and continue to be taken away.",-0.35,0.6,"neg"
336,"This company has much to gain from worldwide experience An unbalanced workload and lack of rescources is an issue",0.2,0.2,"pos"
337,"Strong tradition of excellence throughout organizations Delays exists in data flow down as with any large and decentralized operations",0.164021164,0.4835978836,"neu"
338,"Great place to work and diverse workforce Not too much negative comments. Travel sometimes becomes a burden.",0.25,0.575,"pos"
339,"Nice people to work with mostly Brown-nosing works too well, onsite cafeteria terrible, terrible decisions made with outsourcing",-0.225,0.875,"neg"
340,"Good employees doing what they can Work life balance and demanding expectations",0.7,0.6,"vpos"
341,"Vacation package is great. Other than that there's no pros to this company. Insurance is catastrophic. Be better if you were on government insurance. No time off other than vacation.",0.2625,0.5,"pos"
342,"Tends to hire and promote white males with Ivy league education. Benefits have been significantly reduced. Too many organizational and management changes. Systems and processes are designed to feed se",0.2916666667,0.4583333333,"pos"
343,"Good benefits and working environment. Global exposure requires odd hours for meetings.",0.1777777778,0.2833333333,"neu"
344,"The work ethic and team environment at Honeywell is great. Wish they had more room to grow within in the company.",0.65,0.625,"vpos"
345,"People are beaten down and leaving. It is tough to get replacements. Training is nearly nonexistent. Travel to do your job is also nearly impossible under current cost control measures.",-0.2222222222,0.5844444444,"neg"
346,"Interesting work and lots of it Understaffed and laying off to hit short term revenue targets",0.25,0.4,"pos"
347,"Good engineers / mentors for growth Merit raises uncommon / layoffs",0.75,0.8,"vpos"
348,"Big company, lots of opportunity to move around to other groups. Flexibility. Pay well under average, no bonus structure. Lots of turnover.",-0.0916666667,0.2916666667,"neu"
349,"Excellent work environment with continuous challenge and improve No complaint at the moment",0.575,0.6,"pos"
350,"Opportunity, Career Advancement, Development, Pay near Market Hard work, long hours, minimum benefits in the US.",-0.0805555556,0.4472222222,"neu"
351,"Big companies that implement inconsiderate changes & revenue bottom line. Do not spend time & resources on their employees. Zero growth opportunity in Hawaii.",0,0.1,"neu"
352,"Very supportive team, great training and learning opportunities, interesting work. No cons to report so far.",0.5125,0.8125,"pos"
353,"The people you work beside are great. Management needs to be trained how to properly deal with incidents.",0.4,0.425,"pos"
354,"Great Pay, Nice People, Flexible Schedule, International Travel I have none so far.",0.375,0.6875,"pos"
355,"payrate, early hours and experience management and healthcare. They have HSA but it does not help. co-pay is expensive",-0.2,0.5,"neg"
356,"Good people and long term stable career. Long hours, being recognized might be a challenge.",0.2,0.4666666667,"neu"
357,"Big platform and learn experience. Too much time on internal process.",0.0666666667,0.1,"neu"
358,"Not an easy job, changes impact thousands of customers which can sometimes be very stressful.",0.3166666667,0.5666666667,"pos"
359,"I love the Great leadership team overall This is a HUGE facility so trying to remember where each individual is located can be a bit tough.",0.2185185185,0.5805555556,"pos"
360,"Great work. Challenging tasks. A lot of faith put in young engineers. work environment can sometimes seem negative because of the aerospace industry.",0.275,0.6375,"pos"
361,"opportunities are a pro, but difficult to accomplish work load is not balance to life",-0.5,1,"neg"
362,"Employee review system is unfair, forcing someone to be rated poor so as to approach a normal distribution.",-0.25,0.75,"neg"
363,"Rules, departments jobs seem to change every month. Once you learn something that is no longer valid. For the size company it is the health benefits are terrible.",-1,1,"vneg"
364,"It's steady employment strong economic out look for future Retirees Online access for beneficiaries s",0.2,0.3895833333,"pos"
365,"One of the Top paying jobs. Work not very hard You have to work swing shift",0.3060897436,0.4583333333,"pos"
366,"Recent executive changes foretell major strategic changes in many of the company's product lines. The company has 25,000 engineers, scientists, and technicians, 60% of whom don't write software. It's",0.1875,0.4166666667,"neu"
367,"Great career path at least till the middle layer, positive environment, can get entire aerospace product development experience Poor Salary and benefits, Complacent management",0.0545454545,0.4867424242,"neu"
368,"Training is not good, you figure out a lot on your own, coaching/mentoring/support is limited. The plant is systemically understaffed so you have to find a line or you will find yourself working 70+ h",0.0595238095,0.580952381,"neu"
369,"Great career prospects and progression Frequent org changes fluid business environment",0.3,0.3833333333,"pos"
370,"Health insurance is high-deductible offering, but better than nothing.",0.5,0.5,"pos"
371,"work is great and company is good lack opportunities to grow and find better opportunities",0.6666666667,0.6166666667,"vpos"
372,"Great people, excellent learning opportunities. Middle management is not as engaged as they need to.",0.6,0.5833333333,"vpos"
373,"Below market target on salary offerings. Healthcare and assessment process is totalitarian. Benefits have been scaled back, while we are told to our face that shareholders are more important. Company",0.3,0.5,"pos"
374,"Good culture. Friendly employees. Fun to work in Honeywell Cost cutting. uncertainity in merging.",0.19375,0.55,"neu"
375,"Advancement and you are required to notify manager if you are looking internally for new role. Otherwise, your application cannot be submitted.",0.0681818182,0.2272727273,"neu"
376,"Great work life balance, fair pay. Very limited PTO, few opportunities to advance",0.3017857143,0.4839285714,"pos"
377,"Pay scale... opportunity for advancement management oversight... red tape... benefits",0,0,"neu"
378,"Opportunities for motivated employees for career progress Aerospace outlook is bleak at the moment",-1,1,"vneg"
379,"There is no work space / office space for new (and many existing) employees",0.3181818182,0.4772727273,"pos"
380,"Wide variety of work needing to be done. Scope changes and project cancellations occur too often. Too slow to provide funding for projects.",-0.2,0.4,"neg"
381,"flexible schedule, unlimited vacation subject to manager approval. Hard to move up unless has a good connection",0.0805555556,0.4916666667,"neu"
382,"It is a fee for service contract based work. state regulators over electricity providers have to approve. It is a long drawn out process.",-0.05,0.4,"neu"
383,"Great co-workers. Opportunity. as there is multiple divisions. Value and worth of employees is not recognize .",0.3666666667,0.2833333333,"pos"
384,"The hiring process and on-boarding sometimes take a little while, but it will come through in the end.",-0.1875,0.5,"neu"
385,"Excellent benefit and pension plan Poor quality of work life",0.3,0.8,"pos"
386,"Corporate management only has 30-day patience for results. This trickles down into organization culture. The constant pressure to deliver 90 results for Wall Street results in continuous upper managem",-0.0311111111,0.3244444444,"neu"
387,"9 Block performance review system sucks. Managers are encouraged to place a certain amount of employees in the low end of the scale. Management won't tell you specifics when receiving low performance",-0.0214285714,0.3678571429,"neu"
388,"Pay and benefits are good Lack of employee appreciation, everyone is just a number.",0.7,0.6,"vpos"
389,"Challenging work which motivates you to work harder and enjoy the work. A few furloughs last year.",0.12,0.3333333333,"neu"
390,"Lack of strong management. Senior Leadership has lost touch with the employee base. The only driver now is shareholder value. This value proposition is coming at the expense of employees.",-0.1222222222,0.9111111111,"neu"
391,"Good Benefits and Jobs are not hard. Buddy system which cause you not to progress in the company unless you in it.",0.4229166667,0.5708333333,"pos"
392,"Had a great career path No longer care about employees",0.8,0.75,"vpos"
393,"They allow for a flexible schedule There have been recent cutbacks",0,0.25,"neu"
394,"Really professional environment, good training and benefits with a high potential of growth. I don't find any cons on this job",0.24,0.56,"pos"
395,"Benefits. Unrealistic schedules. Constant RIFs. Lack of real respect from management. Used to have real flex time and vacation. Now I have none, I have to ask permission to take a day off. But I am st",-0.025,0.4833333333,"neu"
396,"A lot of Flexibility, very good pay, no traffic at the area Sometimes when you work for a big company you feel you are just another one in the machinery",0.455,0.44,"pos"
397,"Hard to navigate thru the Honeywell beast... and it's all about leadership making their big bonuses at the end of the day. It's pretty clear they don't care about their employees but at least they are",-0.0483333333,0.485,"neu"
398,"Company is 0.5 kms from my home, but still I will not join this horrible employer.. They exploit you badly. Worst company for salary, career growth, work life balance .",-1,1,"vneg"
399,"Big name, well established company. Management churn every 18-24 months. Unclear leadership direction and focus. Honeywell has lost it's way.",0,0.1,"neu"
400,"interesting products when there's a chance to improve them limited innovation, limited to a few employees",0.0392857143,0.2214285714,"neu"
401,"Not thrilled with treatment of employees, and the culture shift that appears to be happening. Top down control with lots of short term thinking (make the numbers). My department has had a high rate of",0.0408888889,0.4657777778,"neu"
402,"Decent benefits, generous 401k match, good pay Emphasis on speed at the expense of quality! Big on sending jobs out of the country!",0.3472222222,0.4555555556,"pos"
403,"There wasn't really an introduction to the company, just more of a quick start, somewhat of a sink or swim situation. However, that description makes it sound more harsh than it was.",0.2888888889,0.4666666667,"pos"
404,"Comp-time policy was nice. Trademarked mgmt. system worked well and most everyone aligned decision-making w/ that framework. Great company doing great things. Several I choose not to share.",0.54,0.6,"pos"
405,"You're just a tool management wishes to exploit for as long as you're willing to bow your head.No interest in solving the pressing engineering problems. You're expected to stick to established method",0.0333333333,0.5166666667,"neu"
406,"Lots of career growth opportunities Benefits tend to be really poor",-0.4,0.6,"neg"
407,"It paid the bills mostly. Adversarial environment with upper management",0.25,0.25,"pos"
408,"Good pay good employees Bad Management Hr department is very poor known",0.045,0.6616666667,"neu"
409,"Disappointing high management. They keep lot of things to themselves and many things were not done transparently.",0.02,0.58,"neu"
410,"Innovator when it comes to technology Does not value their employees",0,0,"neu"
411,"Very demanding and long hours. Very stressful work environment as you will be asked to hit both monthly and quarterly metrics",0.1166666667,0.3333333333,"neu"
412,"Awesome teams nationwide, compensation is what you make it - work hard and will pay off. Stability. Large company- benefits used to be much better.",0.3556547619,0.6175595238,"pos"
413,"pay, great minds, exciting projects some logistic / administration overload ; wish we had a bit more perks",0.5333333333,0.6833333333,"pos"
414,"Lack of family and work balance, no remote opportunities, leadership is ineffective at time with difficult employees, they can an easy pass even when it bogs down the team",-0.0430555556,0.5805555556,"neu"
415,"People, work was interesting, nice environment No pay raises at the contract position",0.55,0.75,"pos"
416,"Colleagues are focused on customers. Leadership team does not have a solid plan to move the organization forward.",0,0.1,"neu"
417,"Great management. Worked with amazing engineering talent. A lot of layoffs and furloughs",0.7,0.825,"vpos"
418,"1. Cons of a big company (slow bureaucracy, etc.)2. Health insurance is expensive and not the best coverage",0.05,0.375,"neu"
419,"Nice place to work, benefits, salary within market range Too slow to implement change",0.15,0.7,"neu"
420,"They tend to lose focus when they are growing other divisions. This usually cause a loss of personnel due to lack of work.",-0.1666666667,0.3333333333,"neu"
421,"My coworkers were great but that's about it Horrible benefits, management is a joke, severely underpaid, stressful, not worth it",-0.1166666667,0.6166666667,"neu"
422,"it's too big and inefficient. there are useless corporate mandates that do not fit the need or reality of each site that need to be complied regardless. long tenure corporate bureaucrats take pride in",-0.125,0.1833333333,"neu"
423,"Good access to training and obtaining certifications Low pay. Good 'ole boy culture.",0.4666666667,0.5,"pos"
424,"People, Advancement, Benefits, Relocation, Training Only think of Contracts, Upper Management,",0,0.5,"neu"
425,"Frequent layoffs keep people guessing about job security.Ineffective leadership that frequently changes direction.Lots of politics in the office.",0.1,0.3,"neu"
426,"Great company that treats its employees well They do not utilize there ERP system to near it's full potential. Overtime could be cut by 50% plus",0.3125,0.675,"pos"
427,"Pay - the golden handcuffs are hard to ignore Work life balance, unrealistic demands, took too long to hire to replace",-0.1354166667,0.6104166667,"neu"
428,"bad employee policies, capricious work from home policy, management (SPS) is never satisfied with any financial metric, typical employee is never secure - there is always the objective to replace with",-0.2194444444,0.4777777778,"neg"
429,"Challenging, Learning, Competition, Team Environment Management, Political, Under Paid Salary, Low Raise",0.1666666667,0.4666666667,"neu"
430,"Reasonable benefitsBig company with opportunities to move across divisions Extremely poor leadershipVery political environment",-0.0666666667,0.4333333333,"neu"
431,"Big company means you may just have one little piece of the puzzle instead of wearing major multiple different hats at once (sales, development, customer support, etc) with far-reaching scope.",-0.025,0.34,"neu"
432,"Broad product portfolio tech forward Large org slow decision making",-0.0077380952,0.3803571429,"neu"
433,"Too focused on non-value added procedures. Six sigma, AP1152, HOS, etc... Majority of engineering time spent filling out useless forms and checks in boxes before you can move a program forwards.",-0.3,0.15,"neg"
434,"Life long friends are made working there The expectation of long hours",-0.05,0.4,"neu"
435,"1. Big company bureaucracy requires some work to figure out when first starting, though it doesn't affect my daily job much.",0.09,0.1466666667,"neu"
436,"Do not value their employees at all...furloughs, layoffs, no bonus structure, poor communication, no structure at all. There are many other companies out there, don't work here.",-0.0083333333,0.4916666667,"neu"
437,"Group was still being developed so some misunderstanding about responsibility and role within business units. But that will be worked out as teams become more familiar.",0.325,0.4333333333,"pos"
438,"Buracracy buracracy and more buracracy. It is a joke security runs the company and over rules common sense all the time",0.1,0.5,"neu"
439,"Very good company to work with no serious cons about honeywell",0.5383333333,0.7233333333,"pos"
440,"flexible schedule and friendly atmosphere work can be repetitive sometimes",0.0625,0.375,"neu"
441,"Technology, people, work-job balance Benefits, too many changes, poor leadership",0.05,0.55,"neu"
442,"interesting in all areas of sales micro management in general about",0.275,0.5,"pos"
443,"The employees are good people. Bad Management and a Hostile Work Environment",5.55111512312578E-17,0.6333333333,"neu"
444,"Challenging environment. Always pushing you to improve Prefer director and above to relocate every few years",0.1,0.4,"neu"
445,"The HR function is completely superseded by the line management! Line managers are often promoted salesman and not specialists. Which means a number of functions start behaving like sales.",0.125,0.4,"neu"
446,"Travel is tough leaving for 1 to 2 years at a time and long hours more than likely work sundays aswell.",0.0152777778,0.6833333333,"neu"
447,"Large company, good training, good support for sales team, decent benefits. Large companies don't always move quickly to implement strategy changes.",0.3880952381,0.5373015873,"pos"
448,"good work environment, benefits and competitive pay. No flexibility on working from home policies. No career growth depending on the department you work for.",0.7,0.6,"vpos"
449,"Good pay, work remotely, lots to do Long hours, moves slowly, complicated processes",0.0125,0.55,"neu"
450,"You'll hear about companies that are all about the bottom line and making money for the executives - that is Honeywell.Health benefits are AWFUL. Deductible is very high, and you get no assistance wha",-0.396,0.851,"neg"
451,"Good co-workers. Management overall was good. Exciting work, and overall good teamwork. Promotions and raises are hard to come by.",0.3011904762,0.4488095238,"pos"
452,"Lack of career progression. Watch out for your peers and business functional group e.g. your manager, etc, they may sell you out.",0,0,"neu"
453,"The company appears to be preparing to divest some of the business units, although that has not been officially announced. In the interim there is a leadership vacuum that has been filled with various",0.1305555556,0.4666666667,"neu"
454,"Can be overly focused on process.",0,0,"neu"
455,"Access to various technologies. Diversified. Lacks expert manpower and technical expertise",0,0.3,"neu"
456,"Support of metrics collection on progress towards milestones and repetitive quoting of project costs steals engineering time that should be applied to quality systems development, integration & testin",-0.25,0.25,"neg"
457,"Very great company. Management is superb and coworkers are more like friends. None. This company is very great to work for. You might get stressed at times but never over bearing.",0.875,0.8625,"vpos"
458,"Modern workplace, great treatment of employees and you get to work with some truly brilliant people. Very fast paced and demanding, not right for all people.",0.4034285714,0.6731428571,"pos"
459,"Stable employment if you can move with the company, market salaries and benefits. Frequently buying/selling business units, be prepared for change",0.1,0.3,"neu"
460,"I came from a much smaller company and it was a bit overwhelming to be in a large company where they have detailed processes and telephone hotlines for everything. I do have to say though once I got i",0.2785714286,0.6696428571,"pos"
461,"Salary and Bravo system is good Health insurance is probably the worst in Houston area",-0.15,0.8,"neu"
462,"Good start to your career. Company culture is at a low point right now.",0.3285714286,0.4785714286,"pos"
463,"People that you work with Everything- worst insurance on the market, no salary increases except for CEO and high level management, very unfair- let some work from home but not others.",-0.4966666667,0.8466666667,"neg"
464,"I'm in office located in Pittsburgh. Relaxed environment. Two people share an office. No cafe in the building.",0,0,"neu"
465,"They reward good work.Good working environment. Working with hazardous chemicals.Traffic is terrible, making a long day longer.",0.0625,0.725,"neu"
466,"I've learned at from the company in Six Sigma Lean Manufacturing. No room to grow with the company.",0,0,"neu"
467,"The people who work there are really great. Especially those on the floor. They are passionate about their work and truly want to do great work when given the right resources.",0.3671428571,0.7771428571,"pos"
468,"The pay is great there. Everything else sucked about the company.",0.8,0.75,"vpos"
469,"Management is horrible, benefits used to be good really high deductible now. Reviews really bad supervisors put no effort into knowing employees even less effort into reviews. Only thing they care abo",-0.1677777778,0.6455555556,"neu"
470,"global very well reputed company less opportunity for skill enhancement",0.0111111111,0.1222222222,"neu"
471,"A lot of red tape, dictatorship environment and not much job security. High turnover rate. In US, as of 2027, no more set vacation days for salary people. It is at digression of the business or your m",-0.0475,0.31,"neu"
472,"terrible pay, forced overtime, management is garbage and dont expect good raises about 1.4% a year. worst medical and dental ever",-0.32,0.56,"neg"
473,"Intranet is confusing and cumbersome",-0.3,0.4,"neg"
474,"Interesting work and High quality co-workers. Ineffective Leadership.Erosion of pay and benefits of rank and file workers.Very poor work / life balance.",-0.135,0.635,"neu"
475,"Layoffs have been frequent. Managment seems to change frequently as well. Direction of the company seems uncertain.",0.1,0.3,"neu"
476,"Management has no idea how to solve the business problems - they are only interested in finding someone to blame. When having a tough quarter, expect leadership to impose an unpaid furlough on employe",0.0152777778,0.6833333333,"neu"
477,"On side gym, nice coworkers, work/life balance poor benefits, minimal wage increase",0.0333333333,0.7333333333,"neu"
478,"The management have been superb thus far. The onboarding process was extremely organized. Nothing negative to share. Everything has been great!",0.335,0.83,"pos"
479,"Want extensive growth without investing capital in the systems. Cost controls focused on the wrong things. Org chart not aligned properly which leads to conflicts in decision making.",-0.1666666667,0.4444444444,"neu"
480,"*Excessive corporate bureaucracy*Pressure in the work environment*Lack of support from the higher command*One size fits all solutions*Not the best benefits in the market",0.25,0.45,"pos"
481,"Honeywell is a very large organization with many layers of management and approval requirements that can make some business aspects or progress seem slow-paced or bogged down.",0.1057539683,0.3615079365,"neu"
482,"In 18 months working at the Redmond site, I was furloughed for three separate 1-week periods without pay and did not receive a raise. This was the case for ALL supervisors, managers, and engineers. Ba",0,0,"neu"
483,"Pay, Laid Back, and Union Representation. Strong Disconnect Between the Union and Front Office.Tends to Create Problems to FixThey will step over a dollar to pick up a penny.Shop Politics",0.2166666667,0.3666666667,"pos"
484,"Nice place to work with good work life balance, specially for women. Belives in people retention. Hierarchy growth is very less, people tend to stay in the same position for long time",0.2317460317,0.4638492063,"pos"
485,"If you do not want to work really hard. Honeywell is NOT for you!",-0.3645833333,0.5416666667,"neg"
486,"Opportunity to explore and grow Hectic working hours, late nights",-0.3,0.6,"neg"
487,"Executive management cares only about stock price. Several years of furloughs and layoffs along with a systematic cutting of employee benefits has led to extremely poor morale and general apathy. Now",-0.19,0.6,"neu"
488,"Smart and nice people to work with Rightsizing. Sending more and more jobs to HIGH growth areas",0.3948571429,0.6365714286,"pos"
489,"Very good 401k savings plan Very little job stability for the amount of time spent there",0.18875,0.51,"neu"
490,"Overall, a truly awful place to work. This is a review primarily of the ACST group, previously called SRDC and then CSTC. It will probably be renamed and re-shuffled several more times in the next 5 y",-0.0380952381,0.3095238095,"neu"
491,"Worst immigration department and worst HR department.No cordiation between departments.It takes ever to start something.If you are looking for sponsorship or green card process they will cheat you.Law",-0.7333333333,0.7666666667,"vneg"
492,"Customers are great to work with Management needs to learn the technology of the business units (division) they are managing.",0.8,0.75,"vpos"
493,"Lots of learning opportunities and plenty trainings Benefits are less and less, expecting a lot of extra work without getting compensated for it",-0.1111111111,0.0777777778,"neu"
494,"High Margin, Latest Technology, Lean, Six Sigma Very aged employees, too much process, less results, too absorbed in meetings",0.1438888889,0.5211111111,"neu"
495,"1) Corporate greed runs rampant. One week they are sharing news of how well the company did last quarter and what great profits they had, and the next week they are sending out internal memos about sp",0.16,0.1633333333,"neu"
496,"Excellent product offering and quality Very poor management at the Zone level",0.24,0.89,"pos"
497,"Good people to work with Poor benefits and people not valued only metrics",0.1,0.7333333333,"neu"
498,"Too many reorganizations over past 5 years. Each time they take longer than anticipated and leave many employees struggling with understanding where they fit in and what their directions should be.",0.2875,0.4125,"pos"
499,"Many recent (last 3 years) changes in organization and leadership and loss of focus on core business and loss of many good people as a result",0.34,0.3833333333,"pos"
500,"There have been ups and downs with some of the management here. It is hard to get close and trust your management team when they aren't in the company for very long.",-0.1783333333,0.5308333333,"neu"
501,"Excellent compensation and benefits, unsurpassed reputation within the customer base Management typically tone deaf to employee ideas and concerns",0.0111111111,0.8333333333,"neu"
502,"Ability to telecommute whenever we wanted.Supportive co-workers. Constant feeling that the company was in flux.Treated contractors poorly, poor communication from management.",-0.2,0.4666666667,"neg"
503,"People are great to work with. They do care. Downsizing is contributing to a poor working environment",0.2,0.675,"pos"
504,"Senior management seems to be short-term focused. There have been several rounds of layoffs and furloughs in the last year.",0,0.0333333333,"neu"
505,"401k match, stock is rising 2016-2017 Health benefits suck, the company outsourcing anything it can",0,0,"neu"
506,"Lots of trainingFocus on safetyRoom to stand out Seems like a higher turnover location?",0.25,0.5,"pos"
507,"Wide variety of work and great people to work with. Understaffed in some areas, but this is being addressed.",0.35,0.575,"pos"
508,"Job Experience and continuous education The medical benefits are not that great",0.4,0.375,"pos"
509,"Expectations and resources do not align. The good people leave. Prior close to retirement and the worthless stay. Soon no one who knows anything will be left",-0.025,0.375,"neu"
510,"Good pay working overseas. People Contracting overseas is temporary. Long hours",0.325,0.5,"pos"
511,"Large global employer with varied work across the globe Large global employer with new executive team",0.112987013,0.2623376623,"neu"
512,"Health care benefits are below standard. Work life balance can become an issue. Facilities are dated. Leadership turnover is high.",0.08,0.27,"neu"
513,"Financially focused which is a plus unless it runs the risk of being the sole focus. Some important aspects of any business are unknown (via variable measurement) and unknowable (via technology).",0.075,0.4625,"neu"
514,"Pay raises for US employees average once every two years and run at ~2%. Benefits continue to be cut over past several years. Expect long hours and no appreciation. My area moved to open floor plan so",-0.09,0.31,"neu"
515,"Very Political EnvironmentToo Many Layers of Management, e.g. Vice Presidents reporting to Senior Vice PresidentsReductions in Force and Work Furloughs are CommonplaceWorking Nights and Weekends is Co",0.25,0.315,"pos"
516,"Pay doesn't match what other Honeywell employees are making. Unorganized. Union contract barely has any perks.",-0.0375,0.2375,"neu"
517,"Close to home, Nice people to work for. Hard to advance, Salaries', Professional Conduct.",0.1361111111,0.5472222222,"neu"
518,"It is local to where I live horrible management, benefits and you are just a number.",-0.2878787879,0.5,"neg"
519,"Management (business and corporate) has lost sight of what employees value, and continues to diminish the non-monetary reason for staying. Recent emphasis on software is fine, but many high-value Aero",0.2291666667,0.3125,"pos"
520,"Lost all talent. More people leaving than can be hired to stop the bleeding. No accountability, and CSO loses orders and rejects sales for process violations. Process is more important than the custom",0.275,0.525,"pos"
521,"Back stabbing, dishonest people who are cut throat. They work in silo's and care nothing about their people, it's all a facade. HR is horrible and upper management is demanding to the point that you h",-0.38,0.46,"neg"
522,"Good hours, professional work environment, interesting projects. Significant use of lower wage engineers located overseas or in the US on work or travel visas. Benefits are very limited.",0.3164285714,0.4521428571,"pos"
